EstablecimientoCodigo,RegionCodigo,ComunaCodigo,ServicioSaludCodigo,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,NumTotal,Causa
116831,7,7101,16,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2023,3,9,4,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
200096,1,1404,2,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2016,18,4,2,IRA alta (J00-J06)
113807,13,13111,13,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2022,46,4,136,IRA alta (J00-J06)
113806,13,13121,13,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2014,30,7,3,Bronquitis/Bronquiolitis aguda (J20-J21)
119805,8,8111,19,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2017,13,7,35,Bronquitis/Bronquiolitis aguda (J20-J21)
124140,10,10404,24,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2019,30,7,1,Bronquitis/Bronquiolitis aguda (J20-J21)
125104,11,11202,25,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2016,9,5,1,Influenza (J09-J11)
200121,13,13117,10,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2025,53,34,0,"COVID-19, virus no identificado (U07.2)"
200763,7,7305,16,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2021,24,35,0,"COVID-19, virus identificado (U07.1)"
105103,4,4201,5,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Mediana Complejidad,2020,6,34,0,"COVID-19, virus no identificado (U07.2)"
106105,5,5102,6,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2020,24,34,0,"COVID-19, virus no identificado (U07.2)"
116106,7,7103,16,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2021,39,34,0,"COVID-19, virus no identificado (U07.2)"
115103,6,6112,15,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2019,29,5,0,Influenza (J09-J11)
109821,13,13108,9,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2022,5,5,0,Influenza (J09-J11)
200103,3,3102,4,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2017,1,6,9,Neumonía (J12-J18)
129108,9,9205,29,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2021,28,9,0,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
113809,13,13116,13,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2016,29,8,131,Crisis obstructiva bronquial (J40-J46)
109808,13,13104,9,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2019,17,7,39,Bronquitis/Bronquiolitis aguda (J20-J21)
109808,13,13104,9,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2021,35,5,0,Influenza (J09-J11)
116109,7,7406,16,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Mediana Complejidad,2014,33,6,19,Neumonía (J12-J18)
129108,9,9205,29,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2017,34,6,1,Neumonía (J12-J18)
110867,13,13604,10,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2025,24,8,33,Crisis obstructiva bronquial (J40-J46)
200135,13,13501,10,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2023,52,34,0,"COVID-19, virus no identificado (U07.2)"
200752,1,1403,2,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2025,37,34,0,"COVID-19, virus no identificado (U07.2)"
