EstablecimientoCodigo,EstablecimientoGlosa,RegionCodigo,RegionGlosa,ComunaCodigo,ComunaGlosa,ServicioSaludCodigo,ServicioSaludGlosa,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,Latitud,Longitud,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,Causa,NumTotal,NumMenor1Anio,Num1a4Anios,Num5a14Anios,Num15a64Anios,Num65oMas
,,,,,,,,,,,,,,,2025,3,7,Bronquitis/bronquiolitis aguda (J20-J21),19,0,2,5,11,1
,,,,,,,,,,,,,,,2021,14,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,2,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,21,7,Bronquitis/bronquiolitis aguda (J20-J21),20,1,0,6,10,3
,,,,,,,,,,,,,,,2026,15,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2024,19,4,IRA Alta (J00-J06),115,1,4,35,74,1
,,,,,,,,,,,,,,,2025,1,7,Bronquitis/bronquiolitis aguda (J20-J21),6,0,0,2,1,3
,,,,,,,,,,,,,,,2023,19,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,28,4,IRA Alta (J00-J06),16,0,3,4,9,0
,,,,,,,,,,,,,,,2025,52,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2024,14,3,TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),44,1,5,8,24,6
,,,,,,,,,,,,,,,2025,49,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,17,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,14,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,13,6,Neumonía (J12-J18),0,0,0,0,0,0
,,,,,,,,,,,,,,,2023,45,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",3,0,0,0,3,0
,,,,,,,,,,,,,,,2025,49,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,47,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,11,6,Neumonía (J12-J18),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,6,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2022,21,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",5,1,0,2,2,0
,,,,,,,,,,,,,,,2022,14,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,30,7,Bronquitis/bronquiolitis aguda (J20-J21),17,0,3,7,7,0
,,,,,,,,,,,,,,,2024,43,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,4,6,Neumonía (J12-J18),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,33,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",0,0,0,0,0,0
,,,,,,,,,,,,,,,2021,43,3,TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),108,7,28,20,50,3
,,,,,,,,,,,,,,,2025,28,4,IRA Alta (J00-J06),124,0,10,21,83,10
,,,,,,,,,,,,,,,2025,34,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,5,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,48,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,18,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2024,24,8,Crisis obstructiva bronquial (J40-J46),4,0,0,0,3,1
,,,,,,,,,,,,,,,2025,1,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,25,3,TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),113,1,22,22,60,8
