EstablecimientoCodigo,Cluster,Volumen_Total,Promedio_Semanal,Max_Semanal,Semanas_Con_Datos,RegionCodigo,ServicioSaludCodigo,NivelAtencion,NivelComplejidad,RegionNombre
200111,0,147845.0,226.40888208269524,716.0,573,5,7,1,1.0,Valparaíso
119807,0,147844.0,226.4073506891271,591.0,653,8,19,1,1.0,Biobío
200189,0,147119.0,225.29709035222052,1042.0,511,13,11,1,1.0,Metropolitana
200117,0,147078.0,225.2343032159265,633.0,653,13,11,1,1.0,Metropolitana
106829,0,146860.0,224.90045941807045,744.0,653,5,6,1,1.0,Valparaíso
120805,0,146328.0,224.08575803981623,594.0,653,8,20,1,1.0,Biobío
114825,0,145886.0,223.40888208269524,814.0,652,13,14,1,1.0,Metropolitana
200119,0,145158.0,222.29402756508424,715.0,653,13,10,1,1.0,Metropolitana
126801,0,144844.0,221.81316998468606,738.0,652,12,26,1,1.0,Magallanes
112807,0,144457.0,221.22052067381318,739.0,653,13,12,1,1.0,Metropolitana
118817,0,143697.0,220.05666156202145,587.0,652,8,18,1,1.0,Biobío
116105,0,143367.0,219.55130168453292,638.0,653,7,16,3,3.0,Maule
116811,0,143294.0,219.4395099540582,592.0,653,7,16,1,1.0,Maule
114817,0,142827.0,218.72434915773354,641.0,652,13,14,1,1.0,Metropolitana
200095,0,142124.0,217.64777947932618,637.0,555,15,1,1,1.0,Arica y Parinacota
124130,0,141866.0,217.25267993874425,654.0,648,10,24,1,1.0,Los Lagos
109808,0,141852.0,217.2312404287902,675.0,653,13,9,1,1.0,Metropolitana
118826,0,141533.0,216.7427258805513,509.0,653,8,18,1,1.0,Biobío
113812,0,141163.0,216.1761102603369,593.0,653,13,13,1,1.0,Metropolitana
200126,0,141132.0,216.12863705972435,682.0,653,13,10,1,1.0,Metropolitana
113180,0,140420.0,215.03828483920367,803.0,653,13,13,3,3.0,Metropolitana
